auteur;titel;datum;;;
;;;;;
;;;;;
;;;;;
;;;;;
Wade Davis;The Great War, Mallory, and the Conquest of Everest;1-2-2026;;;
DAVID WHYTE;CONSOLATIONS;30-1-2026;;;
 Jared M_ Diamond;Guns, germs, and steel_ the fates of human societies;19-1-2026;;;
Orlando Figes;The whisperers;11-1-2026;;;
Robert Macfarlane;Underland;8-1-2026;;;
Jonathan Haidt;Het rechtvaardigheidsgevoel;6-1-2026;;;
Timothy Snyder;Over vrijheid;4-1-2026;;;
Andrew Zolli;Resilience;2-1-2026;;;
Anna Applebaum;Autocracy Inc. ;31-12-2025;;;
W.G. Sebald;The Rings of Saturn;29-12-2025;;;
Kazuo Ishiguro;De rest van de dag;28-12-2025;;;
Kent Haruf;Plainsong;24-12-2025;;;
Pieter van Os;Liever dier dan mens;21-12-2025;;;
Timothy Brook;Vermeer's hat;20-12-2025;;;
Rasit Elibol;Vuistslagen ;18-12-2025;;;
Jesmyn Ward;Sing, unburied, sing;16-12-2025;;;
Sebastian Faulks;Birdsong;15-12-2025;;;
Albert Camus;De pest;13-12-2025;;;
James Hollis;Living an examined life;10-12-2025;;;
Patti Smith;M-Train;9-12-2025;;;
Sylvain Tesson;De sneeuwpanter;7-12-2025;;;
Dan Ariely;Predictably irrational;5-12-2025;;;
Martha Nussbaum;Het koninkrijk van de angst;4-12-2025;;;
Annie Duke;Thinking in bets : making smarter decisions when you don’t have all the facts;29-11-2025;;;
Iris Murdoch;The sovereignty of good;28-11-2025;;;
Luc Panhuysen;De burgerbaron;26-11-2025;;;
Sheila Sitalsing;Waar ik me voor schaam;23-11-2025;;;
Colm Tóibín;Brooklyn;22-11-2025;;;
Colson Whitehead;The nickel boys;18-11-2025;;;
Gé Vaartjes;Vleugelman;11-11-2025;;;
Victor Laurentius;Spion in smoking ;9-11-2025;;;
Marilynne Robinson;Gilead;7-11-2025;;;
Martha Nussbaum;Aging Thoughtfully;5-11-2025;;;
Carlo Rovelli;The order of time;3-11-2025;;;
Barry Lopez;Arctic dreams;25-10-2025;;;
Oliver Burkeman;4000 WEKEN;24-10-2025;;;
Robert Macfarlane;The  Old Ways;21-10-2025;;;
David Mitchell;The bone clocks;17-10-2025;;;
Dan Brown;Het ultieme geheim;14-10-2025;;;
Maggie O'Farrel;Hamnet;12-10-2025;;;
Rebecca Solnit;The field guide to getting lost;11-10-2025;;;
Svetlana Alexijevitsj;Het einde van de rode mens;9-10-2025;;;
Kazuo Ishiguro;Never let me go;5-10-2025;;;
Byung-Chul Han;De vermoeide samenleving;5-10-2025;;;
Peter Giesen;Autopia;3-10-2025;;;
Hjorth Rosenfeldt;De test;28-9-2025;;;
Judith Koelemeijer;De redding;28-9-2025;;;
Robert B Cialdini;Invloed ;23-9-2025;;;
Hubert Smeets;Een wonderbaarlijk politicus;16-9-2025;;;
Stig Abell;Dodelijke afloop;11-9-2025;;;
Anya Niewierra;De Nomade;5-9-2025;;;
Deon Meyer;Leeuw;3-9-2025;;;
Simone de Beauvoir;The second seks;2-9-2025;;;
Freida McFadden;De huurder;1-9-2025;;;
David Sim;Soft City;31-8-2025;;;
Daniel Kahneman;Thinking, fast and slow;28-8-2025;;;
